index;noticia;link_noticia;web;usuario;id_usuario;fecha_envio;fecha_publicacion;meneos;clicks;comentarios;votos_positivos;votos_anonimos;votos_negativos;karma;sub;extracto
4144462;Miguel Ángel Rodríguez trató de persuadir por carta a víctimas de las residencias de que la culpa era de Sánchez;https://www.elplural.com/autonomias/madrid/miguel-angel-rodriguez-trato-persuadir-carta-victimas-residencias-culpa-era-sanchez_380783102?Echobox=1770449585-3;elplural.com;Meinhard;838059;1770453399;1770490202;472;522;61;188;284;1;416;actualidad; El jefe de gabinete de Ayuso elevó por escrito la responsabilidad al Gobierno y le acusó de mentir y hacer negocio con material sanitario durante la pandemia.Mkguel Ángel Rodríguez negó errores graves en la actuación de la Comunidad de Madrid, sostuvo que esta fue pionera en proteger a los mayores y que la culpa de la mala gestión fue de Sánchez y de su Gobierno. Además, incluyó acusaciones de malas actuaciones y supuestas tramas de material sanitario relacionadas con el Ejecutivo central.  
4144589;Del Ku Klux Klan al ICE: la continuidad histórica del terrorismo de Estado;https://mpr21.info/del-ku-klux-klan-al-ice-la-continuidad-historica-del-terrorismo-de-estado/;mpr21.info;Delay;756952;1770482025;1770488702;242;248;8;101;141;0;400;politica; Milwaukee compara al ICE con el Ku Klux Klan, que no fue una aberración marginal en la historia de Estados Unidos, ni una mera consecuencia de los delirios racistas. La policía de emigración tampoco es una aberración propia de Trump. Ambos parten de la misma matriz: el terrorismo  
4144579;"""No cometí ningún error"": Trump se niega a pedir disculpas por difusión de video racista contra Michelle y Barack Obama";https://latinus.us/eu/2026/2/6/no-cometi-ningun-error-trump-se-niega-pedir-disculpas-por-difusion-de-video-racista-contra-michelle-barack-obama-163899.html;latinus.us;Ratoncolorao;230183;1770478302;1770487502;252;623;34;104;148;0;394;actualidad; El presidente estadounidense aseguró que no vio la grabación completa y sólo sabía que trataba de un supuesto fraude electoral.  
4144569;El exministro de Defensa israelí: la ideología israelí de la «supremacía judía» se asemeja a la teoría racial nazi;https://mondoweiss.net/2026/02/former-israeli-defense-minister-israels-ideology-of-jewish-supremacy-resembles-nazi-race-theory/;mondoweiss.net;Pablosky;7085;1770475812;1770486003;347;371;26;139;208;0;404;actualidad; A finales de la década de 1980, el filósofo israelí Yeshayahu Leibowitz lanzó una controvertida advertencia: la ocupación de 1967 corría el riesgo de convertir a los israelíes en «judeonazis». Leibowitz ha encontrado recientemente un sorprendente partidario de esta opinión: el exministro de Defensa israelí Moshe Ya'alon. El viernes, Ya'alon tuiteó que «Yeshayahu Leibowitz tenía razón y yo estaba equivocado». No se trataba de una referencia benigna, sino que aludía directamente a las «advertencias... sobre el proceso de bestialización que (...)  
4144591;Pedro Piqueras contesta como nadie a Ayuso sobre si España es un país comunista: 'Vamos a dejarnos de bromas';https://www.huffingtonpost.es/virales/pedro-piqueras-contesta-ayuso-sobre-verdad-espana-pais-comunista-primero-rie-luego-suelta-f202602.html;huffingtonpost.es;Delay;756952;1770482424;1770486002;297;1914;48;124;173;4;405;actualidad;" ""Yo he conocido los países comunistas, porque he ido, he viajado en la época de la Unión Soviética a la Unión Soviética, he viajado a la República Democrática Alemana. La verdad es que yo sí se lo que es un país comunista y no lo quiero para nada."" Pedro Piqueras ha justificado que, desde luego, ""no es esto"". ""Es decir, esto es lo más parecido a un país capitalista. O sea, vamos a dejarnos de bromas. Lo es. Un país capitalista, ultracapitalista, en todo caso""  "
4144561;Ojo por ojo y raíz por raíz: Gijón obliga a plantar 49 árboles a una constructora que dañó ocho;https://www.elcomercio.es/gijon/gijon-obliga-plantar-arboles-constructora-20260206195419-nt.html;elcomercio.es;Dakaira;842531;1770472788;1770485102;262;469;37;110;152;1;378;actualidad; Deberá reconstruir un parterre eliminado, reponer los ejemplares desaparecidos y costear varios más junto al Oceanográfico, en la calle José Martí y en la rotonda de acceso a El Musel.  
4144563;El arrebato de Trump contra la UE se convierte en bendición: Europa mete el turbo a la inversión en tecnología;https://www.escudodigital.com/internacional/europa/el-arrebato-de-trump-contra-la-ue-se-convierte-en-bendicion-europa-mete-el-turbo-a-la-inversion-en-tecnologia.html;escudodigital.com;karmicforze;657413;1770473537;1770483303;396;1037;45;166;230;0;406;actualidad; La gran ola de amenazas comerciales y geopolíticas que ha impactado a la Unión Europea como un tsunami político también está causando efectos positivos, aunque está por ver si la UE realmente es capaz de hacer ponerse de acuerdo y hacer limonada.  
4144445;Cómo hacer una bici eléctrica con un alternador;https://www.youtube.com/watch?v=YSlpxMyVRbs;youtube.com;Dikastis;7256;1770449051;1770482402;134;1381;40;73;61;0;370;tecnología; En este vídeo vamos a hacer una bici eléctrica casera a partir de un alternador de coche. Vamos a aprender a reciclar una batería. Vamos a sacar las pilas y vamos a hacer nuestra propia batería para nuestra bici eléctrica. Después vamos a modificar un alternador de coche. Vamos a convertirlo en un motor en vez de que sirva para generar energía, que consuma energía para moverse. Después vamos a hacer toda la instalación eléctrica, el acelerador, el controlador para mover ese motor eléctrico y por último vamos a hacer nuestra bici eléctrica.  
4144565;Condenado un tuitero a indemnizar con 4.000 euros a los padres de Kira, la menor que se suicidó por 'bullying', por publicar más de 100 comentarios lesivos;https://www.20minutos.es/cataluna/condenado-un-tuitero-indemnizar-con-4-000-euros-los-padres-kira-por-comentarios-lesivos-traves-internet_6931028_0.html;20minutos.es;chatgpton;843804;1770474990;1770480302;312;957;77;142;170;0;358;actualidad;" Un juzgado de Barcelona ha condenado a un tuitero a pagar 4.000€ a los padres de Kira López, la menor que se suicidó tras sufrir acoso escolar y en redes. El tribunal dictamina que el acusado vulneró el derecho al honor de los progenitores con más de 100 mensajes injuriosos, agravando su dolor en plena lucha por una ley estatal contra el bullying. Durante meses les dedicó descalificativos como ""mentirosos, escoria, tonto, loca o mala gente"", entre otros muchos insultos vejatorios.  "
4144559;Los precios de la carne se disparan en EE.UU: los ganaderos pierden miles de millones y 4 megamataderos controlan el mercado;https://vandal.elespanol.com/random/los-precios-de-la-carne-se-disparan-en-eeuu-los-ganaderos-pierden-miles-de-millones-y-4-megamataderos-controlan-el-mercado/39749.html;vandal.elespanol.com;Marisadoro;711106;1770472707;1770477602;255;918;81;105;150;0;367;actualidad; Los precios de la carne alcanzan cifras históricas en los supermercados estadounidenses, pero la realidad en los campos es radicalmente distinta. Mientras los consumidores pagan más por el bistec y la carne picada, miles de ganaderos afrontan pérdidas millonarias, venden rebaños a toda prisa y contemplan el cierre de granjas familiares. El precio de la carne en el supermercado ha subido, llegando a un aumento del 70 % en apenas cuatro meses.Las autoridades antimonopolio han comenzado a investigar.  
4144532;Epstein explica a Peter Thiel para quién trabaja: «Represento a los Rothschild»;https://maestroviejo.blog/epstein-explica-a-peter-thiel-para-quien-trabaja-represento-a-los-rothschild-por-fausto-frank/;maestroviejo.blog;capitan__nemo;238219;1770468310;1770475202;339;1137;46;140;199;9;390;actualidad; La nueva tanda de documentos desclasificados del caso Epstein arroja luz a la pregunta reiterada de «para quién trabajaba». «Como probablemente sepas, representante a los Rothschild, espero poder sacar algo de los 160.000 millones del banco para poder invertir en tecnología (de Palantir)», reconoce la proxeneta al magnate tecnológico Peter Thiel. Si siempre se demostró que Epstein trabajaba para el Mossad israelí, la nueva información que lo vincula a la dinastía financiera que fue central en la fundación del Estado sionista en Medio Oriente.  
4144523;BYD se burló de Stellantis en un anuncio por sus motores Puretech. Ahora están obligados a retirarlo;https://www.motorpasion.com.mx/industria/byd-se-burlo-stellantis-anuncio-ahora-estan-obligados-a-retirarlo;motorpasion.com.mx;javierchiclana;38549;1770465782;1770474002;138;1042;46;62;76;1;433;tecnología; ... BYD Italia utilizó el anuncio para ofrecer hasta 10,000 euros a propietarios de coches con motores con correa de distribución bañada en aceite... Si bien BYD presentó la oferta como una forma de cambiar a un vehículo eléctrico, los reguladores consideraron la campaña un ataque directo e injusto contra un competidor. Relacionada: 
4144510;"Ana Pérez: ""En la TVG queremos hacer nuestro trabajo, pero no nos dejan. Si levantas la voz, te castigan""";https://www.infolibre.es/medios/ana-perez-periodista-gallega-tvg-queremos-trabajo-no-dejan-si-levantas-voz-castigan_1_2141080.html;infolibre.es;Delay;756952;1770462064;1770472502;377;721;29;147;230;0;377;Galicia;" ""Con Fraga trabajábamos con más libertad; habiendo censura y manipulación, no era tan descarada ni tan evidente como ahora""  "
4144536;El Asunto Lavon;https://laescaleradeiakob.blogspot.com/2022/09/el-asunto-lavon.html?m=1;laescaleradeiakob.blogspot.com;Free_palestine;610549;1770468838;1770471002;148;348;17;57;91;1;381;cultura; Se trataba de una operación de falsa bandera (operaciones efectuadas por un determinado país u organización para aparentar haber sido llevadas a cabo por otros) en la que agentes israelíes cometerían atentados y acciones de sabotaje contra objetivos británicos y norteamericanos en Egipto, creando un clima de violencia e inseguridad y haciendo creer a los británicos que la seguridad del Canal peligraba si retiraban sus tropas.  
4144513;Vito Quiles abandona el acto de Azcón acompañado de encapuchados y admitiendo que el PP le pagó 900 euros;https://www.elplural.com/politica/espana/vito-quiles-abandona-acto-azcon-acompanado-encapuchados-admitiendo-pp-pago-900-euros_380884102;elplural.com;Delay;756952;1770462609;1770468902;455;1496;123;186;269;9;368;Ardilléame; Iglesias ha denunciado en redes sociales una amenaza explícita contra Alejandra Martínez, periodista vinculada a su entorno mediático. “Vito Quiles amenaza a nuestra periodista: ‘Si yo fuera un escuadrista, tú no tendrías dientes’”. Cuando la periodista ha preguntado al agitador por su vinculación económica con el Partido Popular de Aragón y por los contratos de su medio de comunicación, Quiles ha negado cobrar directamente del PP, aunque ha reconocido percibir entre 800 y 900 euros de su medio  
4144492;Prostitución, narcotráfico, neonazis y propaganda política: el oscuro ecosistema que protege a Vito Quiles;https://www.diario-red.com/articulo/espana/prostitucion-narcotrafico-neonazis-propaganda-politica-oscuro-ecosistema-que-protege-vito-quiles/20260206092512063419.html;diario-red.com;Oghaio;28285;1770458833;1770466803;510;944;85;195;315;9;447;politica; El discurso de odio no es solo propaganda: es el pegamento que mantiene unidas a estas organizaciones y que justifica la violencia contra periodistas, inmigrantes, colectivos LGTBI o activistas antifascistas.  
4144465;Franco en el humor de David Low (1ª parte: 1936 -1939);https://vetustideces.blogspot.com/2025/12/franco-en-el-humor-de-david-low-1-parte.html?m=1;vetustideces.blogspot.com;Deckardio;259379;1770453740;1770465903;126;2202;17;65;61;0;392;cultura; El magnífico Britsh Cartoon Archive de la Universidad de Kent  alberga 159 registros con viñetas de David Low (1891 - 1963) que tienen etiquetado a Franco. Una vez depuradas las numerosas duplicidades de originales y versiones publicadas en la prensa, así como los dibujos que incluyen meras menciones [1], resultan 62 dibujos con caricaturizada presencia de Franco que vamos a participarles en tres entregas. Comenzamos con un bloque formado por las publicadas durante el transcurso de la Guerra Civil española.  
4144516;Rosa Rodríguez, «encantada» de que el premio de ‘Pasapalabra’ revierta en la sociedad vía impuestos;https://efe.com/cultura/2026-02-07/rosa-rodriguez-ganadora-pasapalabra-impuestos/;efe.com;Oghaio;28285;1770464429;1770465902;483;971;129;213;270;1;396;actualidad; Considera que su victoria no solo es un triunfo individual, sino también familiar y, en parte, colectivo. «Devolver bastante de todo lo que he recibido, sobre todo en educación y en servicios públicos de los que he disfrutado y disfruto, me parece lógico», señala Rosa, que asegura sentirse cómoda contribuyendo con su dinero.  
4144452;Registro con invitaciones;https://blog.meneame.net/2026/02/07/registro-con-invitaciones/;blog.meneame.net;imparsifal;264708;1770450087;1770465602;103;546;138;74;29;0;343;Consejo; Vamos a implementar tras un periodo de discusión primero en abierto y luego en el Consejo Consultivo un registro basado en invitaciones.
4144430;Se está probando en Canarias un dron que vuela a 20 km de altitud durante un año, para sustituir a satélites de Starlink;https://computerhoy.20minutos.es/tecnologia/mas-problemas-para-elon-musk-este-dron-vuela-20-km-altitud-durante-un-ano-para-sustituir-satelites-starlink-se-esta-probando-canarias_6930950_0.html;computerhoy.20minutos.es;alehopio;49999;1770432108;1770464102;206;706;22;93;113;1;338;tecnología; El Parque Tecnológico de Fuerteventura está probando el vuelo de una plataforma aérea no tripulada de gran altitud conocida como HAPS (High Altitude Platform System). El sistema HAPS puede planear a 20 km de altitud de forma controlada durante meses. Ahora incluso se integra con éxito en el tráfico aéreo comercial. El proyecto denominado ISSEC coordinado por empresas como Telespazio Ibérica y Pegasus Aero Group utilizó la aeronave Apus Neo 18 de MIRA Aerospace. Los controladores aéreos de ENAIRE supervisaron el vuelo en todo momento.  
4144450;El equipo olímpico de Israel recibió abucheos al entrar al estadio San Siro;https://israelnoticias.com/deporte/el-equipo-olimpico-de-israel-recibio-abucheos-al-entrar-al-estadio-san-siro/;israelnoticias.com;Sergio_ftv;22290;1770449825;1770462902;379;484;50;165;214;0;348;actualidad; El equipo olímpico de Israel ingresó al estadio durante la ceremonia de apertura de los Juegos Olímpicos de Invierno Milano Cortina 2026, en medio de una mezcla dispersa de abucheos. El episodio contrastó con el resto del acto, que mantuvo un ambiente animado y festivo en el gran espectáculo mundial del invierno. Los abucheos se oyeron al principio, aunque la banda sonora, con gran volumen, los cubrió con rapidez mientras continuaba la marcha por el recinto.  
4144393;MALEMÁTICAS CCCXVII: selección de gráficos desastre;https://www.meneame.net/story/malematicas-cccxvii-seleccion-graficos-desastre;;juvenal;70257;1770415514;1770461402;138;2974;13;87;51;0;337;Artículos;  Selección de gráficos desastrosos de las últimas semanas.   Gráfico de sectores de La Razón realizado a ojo, pero con un mal ojo.   Gráfico de El Economista sobre la evolución  del SMI donde nadie se ha percatado que el valor para 2025 no es 1.134 sino 1.184 (¿cómo puedes poner un …  
